State,Popolazione ,Capitali,Abbreviazione
Alabama,5 024 279,Montgomery,AL
Alaska,733 391,Juneau,AK
Arizona,7 151 502,Phoenix,AZ
Arkansas,3 011 524,Little Rock,AR
California,39 538 223,Sacramento,CA
Colorado,5 773 714,Denver,CO
Connecticut,3 605 944,Hartford,CT
Delaware,989 948,Dover,DE
Florida,21 538 187,Tallahassee,FL
Georgia,10 711 908,Atlanta,GA
Hawaii,1 455 271,Honolulu,HI
Idaho,1 839 106,Boise,ID
Illinois,12 812 508,Springfield,IL
Indiana,6 785 528,Indianapolis,IN
Iowa,3 190 369,Des Moines,IA
Kansas,2 937 880,Topeka,KS
Kentucky,4 505 836,Frankfort,KY
Louisiana,4 657 757,Baton Rouge,LA
Maine,1 362 359,Augusta,ME
Maryland,6 177 224,Annapolis,MD
Massachusetts,7 029 917,Boston,MA
Michigan,10 077 331,Lansing,MI
Minnesota,5 706 494,Saint Paul,MN
Mississippi,2 961 279,Jackson,MS
Missouri,6 154 913,Jefferson City,MO
Montana,1 084 225,Helena,MT
Nebraska,1 961 504,Lincoln,NE
Nevada,3 104 614,Carson City,NV
New Hampshire,1 377 529,Concord,NH
New Jersey,9 288 994,Trenton,NJ
New Mexico,2 117 522,Santa Fe,NM
New York,20 201 249,Albany,NY
North Carolina,10 439 388,Raleigh,NC
North Dakota,779 094,Bismarck,ND
Ohio,11 799 448,Columbus,OH
Oklahoma,3 959 353,Oklahoma City,OK
Oregon,4 237 256,Salem,OR
Pennsylvania,13 002 700,Harrisburg,PA
Rhode Island,1 097 379,Providence,RI
South Carolina,5 118 425,Columbia,SC
South Dakota,886 667,Pierre,SD
Tennessee,6 910 840,Nashville,TN
Texas,29 145 505,Austin,TX
Utah,3 271 616,Salt Lake City,UT
Vermont,643 077,Montpelier,VT
Virginia,8 631 393,Richmond,VA
Washington,7 705 281,Olympia,WA
West Virginia,1 793 716,Charleston,WV
Wisconsin,5 893 718,Madison,WI
Wyoming,576 851,Cheyenne,WY
